requestId,timestamp,duration,billedDuration
59043da5-4d6a-4154-8475-3198b42a00f4,2019-05-07 01:16:20.643,525.44,600
53e20916-fe3a-4d10-9a2e-3853541cc20a,2019-05-07 01:16:21.965,213.65,300
dcfc6fe3-ec76-4f17-a854-3f4f590213db,2019-05-07 01:16:23.225,158.03,200
3c8fec77-4508-4ab0-93a9-a6f24bc1c294,2019-05-07 01:16:24.564,249.43,300
f2132d03-f1c5-4968-aad5-1122b7f29182,2019-05-07 01:16:26.282,640.41,700
afc4994a-a851-4b9e-a654-27c991f73071,2019-05-07 01:16:27.984,604.15,700
5b720cf4-3f68-483a-a473-87b084228d0d,2019-05-07 01:16:30.083,988.1,1000
6fdbcd60-c30d-4ab6-9303-1101da04365f,2019-05-07 01:16:31.306,94.2,100
ccf5743e-1c38-47da-a1c9-147f3a9dc9d3,2019-05-07 01:16:32.504,114.11,200
afb8a133-0c74-4c5e-8553-dff568e0fdd5,2019-05-07 01:16:33.983,391.41,400
0bb23f4a-60ff-45f6-8a95-c9ee7ac0d6c2,2019-05-07 01:16:35.503,419.25,500
51214447-dc35-49af-94c5-7f59a9364513,2019-05-07 01:16:37.602,978.41,1000
bc7e934b-62a3-4b2f-8416-694209d173b3,2019-05-07 01:16:38.725,56.08,100
d781c14f-c7bb-47d3-98d1-6ea146bb95bf,2019-05-07 01:16:39.964,145.09,200
f3cceff0-ab3b-4417-bde6-456c713afdb3,2019-05-07 01:16:41.202,158.42,200
ca062fa7-4e69-4ce5-b350-04a44d588b5d,2019-05-07 01:16:42.627,231.67,300
2cc6c6f9-b954-41c2-b593-b85a2f1ec81b,2019-05-07 01:16:44.390,686.54,700
4902cb8b-8843-4bb7-8ede-4daaf0eb1252,2019-05-07 01:16:45.682,110.2,200
a7d0dfcb-2b7f-41eb-a64d-1091ea7547c8,2019-05-07 01:16:46.823,71.94,100
3d593682-8b3f-42c3-bf7b-6f71b53aec76,2019-05-07 01:16:48.263,341.38,400
52105095-24a0-4791-8733-14267e7736d5,2019-05-07 01:16:50.383,1030,1100
491595db-ea2b-4a73-a281-70710ec9b13b,2019-05-07 01:16:52.304,841.08,900
96794717-9961-4031-b32c-12c206fbf41e,2019-05-07 01:16:53.726,337.36,400
79bfd20a-3446-423f-b9e8-cfc5f1f46de1,2019-05-07 01:16:55.086,272.76,300
f8639203-209e-4e50-9d67-a29dae0e4529,2019-05-07 01:16:56.924,744.63,800
d6f7ecd6-eb21-41ae-ab5d-3fe2778f674b,2019-05-07 01:16:58.104,82.84,100
63968091-5bf6-45b4-b99c-8fa93cd1e897,2019-05-07 01:17:00.042,832.77,900
0c65e5dc-2652-426b-b714-46117cded405,2019-05-07 01:17:01.406,297.8,300
0f26393c-2206-4db0-8c2c-b29d6b119814,2019-05-07 01:17:04.046,1505.93,1600
