@requestId,@timestamp,@duration,@billedDuration
542bf9ce-40e7-472b-9136-59334319b96e,2019-05-19 03:17:37.892,4208.2,4300
af95414a-d55f-4872-adbe-09ae9383118f,2019-05-19 03:17:43.092,3872.5,3900
ec72fda4-364d-410d-9645-0ec68c1984f4,2019-05-19 03:17:47.570,3361.99,3400
d5b14900-a2e0-4b0a-a693-d4c4f2597940,2019-05-19 03:17:52.651,3977.8,4000
210aaab8-8807-40d8-8e91-da69a4c935c9,2019-05-19 03:17:58.153,4411.69,4500
fce8f40c-f5b8-4ead-b1c6-835d3ef84385,2019-05-19 03:18:02.350,3090.66,3100
dd6b581b-eac0-4794-a4ae-bd3e7e5df746,2019-05-19 03:18:07.330,3899.51,3900
5bb1d893-a941-4311-baf0-d978d4b4cbba,2019-05-19 03:18:11.375,2952.42,3000
9521cc1c-7437-4ce6-98fa-113844153a0c,2019-05-19 03:18:15.871,3392.52,3400
20003c39-0a73-4863-bb22-a18feed92394,2019-05-19 03:18:19.331,2394.43,2400
e70cd3ef-f046-4db1-a357-082f09a4380d,2019-05-19 03:18:26.270,5825.89,5900
f5cbccaf-c840-4192-9627-02af00632d46,2019-05-19 03:18:29.253,1892.09,1900
eecfe042-c233-4b97-aa79-f22d216f074e,2019-05-19 03:18:33.651,3311.58,3400
65bba917-5345-4dbd-90d8-c24fdd177ee8,2019-05-19 03:18:39.794,5017.83,5100
82d63246-87ad-4b57-b760-c33fff09c482,2019-05-19 03:18:43.991,3080.9,3100
d539a82f-abc3-44cc-b858-935a7625f36e,2019-05-19 03:18:53.071,8007.52,8100
d6f7df93-dca1-4484-b52d-1c90d77a8084,2019-05-19 03:18:58.152,4000.64,4100
6175daa0-762f-478e-b5e4-dac5e788c8a4,2019-05-19 03:19:06.990,7748.78,7800
ff143b50-7f93-4bc8-9bef-88c0befb58aa,2019-05-19 03:19:10.911,2804.28,2900
fd89d9b5-8ec2-432a-a1ef-eb935c5052c1,2019-05-19 03:19:14.812,2820.44,2900
ec261377-0cda-429b-841a-94446e158552,2019-05-19 03:19:22.113,6198.54,6200
daab081c-3831-4f05-ac69-2de20e6588ba,2019-05-19 03:19:28.151,4902.83,5000
273f7400-aa1c-460b-91b3-059e379a3e73,2019-05-19 03:19:35.312,6077.57,6100
f149052e-96ff-4324-bf35-b3c3110b043a,2019-05-19 03:19:42.031,5594.46,5600
b61ef6ab-5c19-42ee-9c2c-92a7de9cfcb7,2019-05-19 03:19:45.933,2814.92,2900
dab43dd0-78b4-4633-a2e7-52a4eb47eebe,2019-05-19 03:19:51.012,3973.84,4000
57e0b706-3264-4ea2-9142-510a1eb031e7,2019-05-19 03:19:54.150,2029.8,2100
39ff008b-000b-48f5-a436-62723df9c0fb,2019-05-19 03:20:01.753,6532.67,6600
